id_hogar,renglon,pobreden,age_baseline,sex_baseline,state,village,cutoff,xraw,y,y_baseline,xnorm,xbin,bin_midpt
404963,4,1,14,female,3,300550016,759.35999,750,1,1,-9.3599854,9,-7.5
411372,3,1,12,female,3,300580096,759.35999,736,1,1,-23.359985,6,-22.5
332233,3,1,10,female,3,301960000,759.35999,734,1,1,-25.359985,5,-27.5
450206,6,1,10,male,3,300580064,759.35999,727,1,1,-32.359985,4,-32.5
222216,8,1,12,female,3,301100032,759.35999,712,1,1,-47.359985,1,-47.5
113962,9,1,8,male,3,300200032,759.35999,722,1,1,-37.359985,3,-37.5
404921,7,1,9,male,3,300550016,759.35999,728,1,1,-31.359985,4,-32.5
401144,7,no pobre,11,male,3,301550016,759.35999,788,1,1,28.640015,16,27.5
118946,9,1,8,male,3,300240032,759.35999,738,1,1,-21.359985,6,-22.5
400468,4,1,10,male,3,300580128,759.35999,753,1,1,-6.3599854,9,-7.5
646600,7,1,8,female,3,300580096,759.35999,733.5,1,1,-25.859985,5,-27.5
400877,8,1,15,male,3,300830016,759.35999,753,0,0,-6.3599854,9,-7.5
401589,4,1,14,male,3,300580128,759.35999,747,1,1,-12.359985,8,-12.5
330859,4,1,14,male,3,302000000,759.35999,725,0,0,-34.359985,4,-32.5
643980,4,1,7,male,3,300580192,759.35999,722,1,1,-37.359985,3,-37.5
330898,3,1,15,male,3,302000000,759.35999,759,0,0,-.35998535,10,-2.5
411935,5,1,12,male,3,300580096,759.35999,718.5,1,1,-40.859985,2,-42.5
511230,8,1,8,male,3,300580128,759.35999,738.5,0,1,-20.859985,6,-22.5
637817,3,1,16,male,3,300660032,759.35999,710,1,1,-49.359985,1,-47.5
229262,7,1,13,female,3,300210048,759.35999,754,1,1,-5.3599854,9,-7.5
451633,9,1,10,female,3,300230016,759.35999,719.33002,1,1,-40.029968,2,-42.5
229262,8,1,9,female,3,300210048,759.35999,754,1,1,-5.3599854,9,-7.5
643160,7,1,11,female,3,300580192,759.35999,750,1,1,-9.3599854,9,-7.5
328888,4,1,15,male,3,300460032,759.35999,720,0,1,-39.359985,3,-37.5
640240,9,1,14,male,3,300580128,759.35999,747,0,1,-12.359985,8,-12.5
512910,5,1,10,male,3,300230016,759.35999,712.5,1,1,-46.859985,1,-47.5
404924,7,1,9,male,3,300550016,759.35999,722,1,1,-37.359985,3,-37.5
511750,5,1,10,male,3,300580096,759.35999,733,1,1,-26.359985,5,-27.5
113985,5,1,7,female,3,300200032,759.35999,733,1,1,-26.359985,5,-27.5
452331,4,1,13,male,3,300580096,759.35999,751,1,1,-8.3599854,9,-7.5
410044,5,1,13,male,3,300580096,759.35999,744,1,1,-15.359985,7,-17.5
618290,8,1,7,female,3,300580128,759.35999,743,1,1,-16.359985,7,-17.5
404127,5,no pobre,16,male,3,300550016,759.35999,782.59998,1,1,23.23999,15,22.5
222216,6,1,15,male,3,301100032,759.35999,712,1,1,-47.359985,1,-47.5
644310,5,1,8,male,3,300790016,759.35999,735,1,1,-24.359985,6,-22.5
401144,8,no pobre,9,female,3,301550016,759.35999,788,1,1,28.640015,16,27.5
222209,3,1,15,male,3,301100032,759.35999,746,0,0,-13.359985,8,-12.5
224949,6,1,12,female,3,301830016,759.35999,723.5,0,1,-35.859985,3,-37.5
230133,3,1,6,male,3,300140032,759.35999,716,1,1,-43.359985,2,-42.5
157922,6,1,10,female,3,300830016,759.35999,715,1,1,-44.359985,2,-42.5
423902,7,1,11,female,3,300230176,759.35999,749.91998,1,1,-9.4400024,9,-7.5
401639,3,1,10,male,3,300830112,759.35999,733,1,1,-26.359985,5,-27.5
452346,6,no pobre,10,female,3,300580096,759.35999,794,1,1,34.640015,17,32.5
618360,4,1,16,male,3,300580128,759.35999,752.5,1,1,-6.8599854,9,-7.5
644750,4,1,8,female,3,300580064,759.35999,733,1,1,-26.359985,5,-27.5
450741,5,1,9,male,3,300230016,759.35999,734.5,1,1,-24.859985,6,-22.5
623461,4,1,9,male,3,300660032,759.35999,720,1,1,-39.359985,3,-37.5
404925,7,1,8,female,3,300550016,759.35999,712,1,1,-47.359985,1,-47.5
517470,4,1,16,male,3,300580064,759.35999,731,0,1,-28.359985,5,-27.5
405017,6,1,10,male,3,300550016,759.35999,732,1,1,-27.359985,5,-27.5
410305,4,1,12,female,3,300580064,759.35999,713,1,1,-46.359985,1,-47.5
649190,5,1,7,male,3,300580128,759.35999,753.5,1,1,-5.8599854,9,-7.5
403622,7,1,9,female,3,300550016,759.35999,757.5,1,1,-1.8599854,10,-2.5
654252,7,1,10,male,3,300830048,759.35999,717,1,1,-42.359985,2,-42.5
211195,5,1,12,male,3,300580096,759.35999,725,1,1,-34.359985,4,-32.5
686401,4,1,14,female,3,300580128,759.35999,755,0,0,-4.3599854,10,-2.5
508470,8,1,16,male,3,300580096,759.35999,722,0,1,-37.359985,3,-37.5
686442,5,1,14,male,3,300580128,759.35999,752,1,1,-7.3599854,9,-7.5
656692,7,1,9,male,3,300830144,759.35999,738.70001,1,1,-20.659973,6,-22.5
637817,5,1,6,female,3,300660032,759.35999,710,1,1,-49.359985,1,-47.5
110534,4,1,12,female,3,300580096,759.35999,747,1,1,-12.359985,8,-12.5
211338,4,1,11,male,3,300580096,759.35999,714,1,1,-45.359985,1,-47.5
400670,3,1,14,female,3,300830112,759.35999,719,0,0,-40.359985,2,-42.5
327386,6,1,12,male,3,300790016,759.35999,751,1,1,-8.3599854,9,-7.5
630528,3,1,8,female,3,300230016,759.35999,724,1,1,-35.359985,3,-37.5
118896,3,1,13,female,3,300240000,759.35999,752,0,0,-7.3599854,9,-7.5
403622,5,1,15,male,3,300550016,759.35999,757.5,1,1,-1.8599854,10,-2.5
113992,5,1,11,male,3,300200032,759.35999,748.40002,0,0,-10.959961,8,-12.5
618930,5,1,16,female,3,300580000,759.35999,750.5,0,1,-8.8599854,9,-7.5
644750,3,1,10,female,3,300580064,759.35999,733,1,1,-26.359985,5,-27.5
649490,7,1,9,male,3,300580128,759.35999,715.25,1,1,-44.109985,2,-42.5
634073,4,no pobre,14,male,3,300230016,759.35999,799.33002,0,0,39.970032,18,37.5
649330,7,1,13,female,3,300580096,759.35999,743.5,1,1,-15.859985,7,-17.5
649260,3,1,16,female,3,300580128,759.35999,735,0,0,-24.359985,6,-22.5
642930,6,1,9,female,3,300240000,759.35999,712,1,1,-47.359985,1,-47.5
332238,4,1,10,male,3,301960000,759.35999,754,1,1,-5.3599854,9,-7.5
451103,7,1,12,male,3,300580128,759.35999,749,1,1,-10.359985,8,-12.5
643420,10,no pobre,7,female,3,300240000,759.35999,783,1,1,23.640015,15,22.5
211338,6,1,7,male,3,300580096,759.35999,714,1,1,-45.359985,1,-47.5
656622,4,1,12,male,3,300830144,759.35999,718,1,1,-41.359985,2,-42.5
450206,4,1,16,male,3,300580064,759.35999,727,0,1,-32.359985,4,-32.5
623452,6,1,11,female,3,300660032,759.35999,730.66998,1,1,-28.690002,5,-27.5
451643,6,1,9,male,3,301610080,759.35999,735,1,1,-24.359985,6,-22.5
404975,7,no pobre,15,female,3,300550016,759.35999,785,1,1,25.640015,16,27.5
618802,5,1,12,female,3,300580064,759.35999,741,1,1,-18.359985,7,-17.5
400432,4,1,12,male,3,301550080,759.35999,744,1,1,-15.359985,7,-17.5
156792,4,1,14,female,3,300830080,759.35999,745,1,1,-14.359985,8,-12.5
649080,6,1,8,female,3,300580128,759.35999,711,1,1,-48.359985,1,-47.5
618010,6,1,14,female,3,300580000,759.35999,721,0,0,-38.359985,3,-37.5
230114,3,1,14,male,3,300140032,759.35999,736,1,1,-23.359985,6,-22.5
623473,4,1,16,male,3,300660032,759.35999,727.66998,0,0,-31.690002,4,-32.5
650955,3,1,13,female,3,300270016,759.35999,753,0,0,-6.3599854,9,-7.5
642480,5,1,15,female,3,300580096,759.35999,735,1,1,-24.359985,6,-22.5
230114,4,1,13,female,3,300140032,759.35999,736,1,1,-23.359985,6,-22.5
400924,5,1,10,female,3,300830016,759.35999,728,1,1,-31.359985,4,-32.5
401405,7,1,7,female,3,301550016,759.35999,725.5,1,1,-33.859985,4,-32.5
405017,5,1,14,male,3,300550016,759.35999,732,0,1,-27.359985,5,-27.5
401589,6,1,8,male,3,300580128,759.35999,747,1,1,-12.359985,8,-12.5
113950,4,1,13,female,3,300200032,759.35999,710,1,0,-49.359985,1,-47.5
618300,10,1,9,male,3,300580128,759.35999,722,1,1,-37.359985,3,-37.5
407470,6,1,14,female,3,300580096,759.35999,739,0,1,-20.359985,6,-22.5
320782,3,1,6,female,3,301100000,759.35999,731,1,1,-28.359985,5,-27.5
315332,4,1,12,female,3,300830016,759.35999,734,1,1,-25.359985,5,-27.5
112594,6,1,11,female,3,301100000,759.35999,733.45001,1,1,-25.909973,5,-27.5
401351,9,1,7,male,3,300580160,759.35999,718,1,1,-41.359985,2,-42.5
643610,4,1,6,male,3,300580096,759.35999,729,1,1,-30.359985,4,-32.5
424571,6,1,11,male,3,300230176,759.35999,745.14001,1,1,-14.219971,8,-12.5
686442,6,1,7,female,3,300580128,759.35999,752,1,1,-7.3599854,9,-7.5
656112,7,1,7,male,3,300720032,759.35999,718.5,1,1,-40.859985,2,-42.5
328933,5,no pobre,13,female,3,300460032,759.35999,788,1,0,28.640015,16,27.5
400468,3,1,15,female,3,300580128,759.35999,753,0,0,-6.3599854,9,-7.5
400878,3,1,16,female,3,300830016,759.35999,721,0,0,-38.359985,3,-37.5
513180,6,1,9,male,3,300580096,759.35999,742,1,1,-17.359985,7,-17.5
643780,8,1,13,female,3,300790016,759.35999,738,1,1,-21.359985,6,-22.5
634092,6,1,8,male,3,300230016,759.35999,722,1,1,-37.359985,3,-37.5
332192,5,1,6,female,3,301960000,759.35999,718,1,1,-41.359985,2,-42.5
328927,3,1,7,female,3,300460032,759.35999,750,1,1,-9.3599854,9,-7.5
400878,4,1,12,male,3,300830016,759.35999,721,1,1,-38.359985,3,-37.5
618170,2,1,11,male,3,300580000,759.35999,710,1,1,-49.359985,1,-47.5
118946,5,1,13,male,3,300240032,759.35999,738,0,1,-21.359985,6,-22.5
451656,3,1,10,male,3,300230016,759.35999,749,1,1,-10.359985,8,-12.5
328946,2,no pobre,16,female,3,300460032,759.35999,808,0,0,48.640015,20,47.5
112594,7,1,8,female,3,301100000,759.35999,733.45001,1,1,-25.909973,5,-27.5
642430,6,1,13,female,3,300580096,759.35999,747.5,1,1,-11.859985,8,-12.5
644210,6,1,8,female,3,300580192,759.35999,735,1,1,-24.359985,6,-22.5
640080,5,1,7,male,3,300580128,759.35999,752,1,1,-7.3599854,9,-7.5
510340,3,1,12,female,3,300580096,759.35999,739,1,1,-20.359985,6,-22.5
452346,5,no pobre,15,male,3,300580096,759.35999,794,1,1,34.640015,17,32.5
649830,10,1,8,male,3,300580128,759.35999,717,0,1,-42.359985,2,-42.5
508050,3,1,11,male,3,300580064,759.35999,718,1,1,-41.359985,2,-42.5
650315,3,1,6,male,3,300270016,759.35999,736,1,1,-23.359985,6,-22.5
157922,7,1,9,male,3,300830016,759.35999,715,1,1,-44.359985,2,-42.5
113985,6,1,6,male,3,300200032,759.35999,733,1,1,-26.359985,5,-27.5
315332,3,1,14,male,3,300830016,759.35999,734,1,1,-25.359985,5,-27.5
623452,5,1,14,male,3,300660032,759.35999,730.66998,1,1,-28.690002,5,-27.5
407261,3,1,15,female,3,300580096,759.35999,736,1,1,-23.359985,6,-22.5
313875,6,1,13,male,3,300830016,759.35999,755,1,1,-4.3599854,10,-2.5
404150,3,1,15,male,3,300550016,759.35999,740.5,1,1,-18.859985,7,-17.5
643420,7,no pobre,13,male,3,300240000,759.35999,783,1,1,23.640015,15,22.5
328896,3,1,14,male,3,300460032,759.35999,718,1,1,-41.359985,2,-42.5
643780,7,1,15,female,3,300790016,759.35999,738,1,1,-21.359985,6,-22.5
404117,6,1,7,male,3,300550016,759.35999,733,1,1,-26.359985,5,-27.5
643450,5,1,14,male,3,300240000,759.35999,736,0,1,-23.359985,6,-22.5
400289,3,1,16,male,3,300550080,759.35999,754,0,1,-5.3599854,9,-7.5
